,Document,Topic_group
32274,list amendments tuesday pm add location hi create called owner add member add delete name once done please notify thank re add location hi discussed approve creating based described think appropriate owner majority thanks add location hi discussed via actions create called add member add delete please ahead change owner thank july re add location think better description thanks july re add location hi thank advisement suggest sounds awful thanks ext july re add location sounds orphaned wide outer best july re add location hi assignees travelling based probably appropriate perhaps options regards july re add location hello think members by default few genuinely qualify well think makes sense mainly canary wharf etc helps july add location hi view these belong regards july add location hello ladies please help out by advising which location attached spreadsheet belong thank ext march add location hello please find attached requested information let further assistance best regards engineer tuesday march pm add location hello discussed please add location users provide thank ext march hello please find attached requested users located part oxford let further assistance best regards engineer march pm hello please members which based part oxford provide thank ext information confidential legally privileged intended solely addressee opinions expressed mine,Miscellaneous
20317,slave new thursday february pm re caps personal please based please sorry mix languages thank engineer thursday february pm re caps ne caps slave ca nod best regards software consultant design lead lead thursday february pm re caps hi works machine next step add machine works let results tests best regards software consultant design lead lead thursday february pm caps hello instance version caps cloned caps accessed same key please test advise functional caps remain active until advise otherwise lead,Hardware
30534,notification upgrade upgrade,Administrative rights
1624,time sheet sheet hi unable submit weeks sheet wants task details options select please let thanks,HR Support
29869,change mobile ownership re move ownership hello found permissions mobile error please double rest well thanks wednesday pm move ownership wednesday pm move ownership hello please advised changed owner synchronize shortly assist please let thank analyst ext hub tuesday pm move ownership hi please move ownership mobile mobile leads leads android android testing testing mobile next vacations holiday sept,Miscellaneous
15120,laptop backpack wednesday pm backpack hello needed backpack received logging purpose thanks,Hardware
39855,oracle fusion notifications sent july re fusion shows unsolved tasks although unsolved task exists hi when open task count goes down with one after completed open tasks counter still shows although total number open task thank you sent wednesday july re fusion shows unsolved tasks although unsolved task exists hello we kindly ask for bit more context better understand your experience looking forward hearing you thank you kindest regards analyst ext hub sent july fusion shows unsolved tasks although unsolved task exists count related with about approved for there way set such tasks completed manager en,Miscellaneous
29810,access to pm dear please thank head testing colombia,HR Support
32725,verify with urgent july pm re verify hello please treat urgent thanks regards leader july verify dear blocking mails looks loop members remote returned please log call verify thank senior engineer registered under number whose registered old broad street kingdom provide clients each subsidiaries separate entity has liability entity,Hardware
16488,account on phone tuesday pm phone hello needed help phone helped out thank,Access
9020,account confluence access confluence hi please confluence thank senior,Access
36974,issue off site contacted cannot connect,Hardware
35954,not able to close able close va ticket direct pot change engineer managed,Miscellaneous
28601,forgotten id card today forgot id card given replacement card today purposes inside premises back fetch mine,Access
17792,new pas project wednesday pm setup has assigned hi please kind regards tuesday march pm setup has assigned hello please advised record number has assigned please review details take appropriate action reference number details assign reference assignment summary null choose template applicable setup please provide short description setup details attached completed setup form priority affected add requested location jersey location jersey please link kind regards ref msg,Internal Project
14181,replenishment pm hello order number containing has requested by please log replenishment thanks please perform order number thanks attached screen capture how enjoy administrator phone pm la la id extension cable thanks technician,Purchase
15864,re enable mail account please re enable,Access
30519,laptop needed today tuesday needed today hi today presentation after pm please let thank senior tester,Hardware
44238,cost center oracle to be changed please notes sent thursday february cost center be changed dear part have be linked with cost center moment can you please change because every when raise have change cost manually case forget rejected thank you specialist,Miscellaneous
12538,snow queue for local support friday july pm snow queue importance high hello please create colleague snow queue membership both owner sorry short notice much appreciate done by next cob thank lead ext,Miscellaneous
3091,add and to the queue sn add queue sn hi guys please help out add queue cheers leader,Miscellaneous
46374,contract sent tuesday november contract hi we have executed contract but appearing needing approval approval panel list can you please investigate establish what needed have fully approved contract id regards director information confidential be legally privileged intended solely for addressee any opinions expressed mine necessarily represent opinions susceptible interference if you intended recipient any disclosure copying,Miscellaneous
30804,replicate laptop tuesday pm replicate importance high dear please allocate built backup she every needs allocated spoke he confirmed built ready he details urgent has approved thank regards,Hardware
34352,no wired connection wired connection dear th floor tower there biggest part cables workable meeting room there cable please provide asap solution best regards master,Hardware
1785,cooling pad needed cooling pad needed hi please provide cooling pad best regards consultant,HR Support
30911,please configure a user for its to be able to all existing hello order avoid creating starter procedure stated valid option please existing whom discussed matter please note urgency thank,HR Support
8026,new purchase po purchase po dear purchased lite updated include device under user name link please log allocation please take consideration mandatory receipts section order receive item ordered how video please explorer kind regards administrator,Purchase
13115,access to friday hello please thanks application engineer,HR Support
41256,monthly disk report on original message sent thursday monthly disk report dear following your monthly report regarding disks you can also check individual disks manager info disk disk count bad sector count disk re identification count estimated lifespan disk disk count bad sector count disk re identification count estimated lifespan disk disk count bad sector count disk re identification count estimated lifespan disk disk count bad sector count disk re identification count estimated lifespan disk disk count bad sector count disk re identification count estimated lifespan disk disk count bad sector count disk re identification count estimated lifespan disk disk count bad sector count disk re identification count estimated lifespan disk disk count bad sector count disk re identification count estimated lifespan disk disk count bad sector count disk re identification count estimated lifespan disk disk count bad sector count disk re identification count estimated lifespan sincerely,Hardware
21290,request for wednesday february pm hi receive thank head,HR Support
39940,account locked out resolved sent tuesday july locked out resolved hello please open ticket had problem with his ad was locked out had urgent need unlock assisted him thank you engineer ext en,Access
33714,laptop sent back to client location july back client location importance high hello please solution ca client back protocol follow back thank,Hardware
9416,restrict access to area restrict area hi please restrict secure area tower effective thank regards officer,HR Support
1437,oracle fusion expenses app request app dear re trail please kindly provide mobile app downloaded app successfully work mobile provide initial thanks help kind regards october hello order mobile application please follow steps step download install mobile device version step run app step press agree version step next fulfill version step host user name locally change later by yourself after part empty version step press done step press keep mind synchronization take until then complete installation encounter other issues please hesitate thanks kind regards analyst ext hub thursday october pm hi please provide details app thanks client,Hardware
42304,cannot log into sent thursday cannot log into hello could you please log incident for cannot locked ad seems be order we tried chrome safari kind regards specialist,Hardware
6448,outage outage hi october scheduled outage affected user equipment thanks engineer,Hardware
41394,can access sent tuesday access hello recently changed password can access forward please know lost evening work needed be done thanks senior analyst north,Hardware
15573,set forwarder access to mailbox for leaver tuesday pm re leaver please copy his next few weeks apply out anyone touch whilst he seemed disabled head re leaver importance high hi disable his accounts today leaver form automatically by once date yet please terminate accesses today although date later thank lead tuesday pm leaver hi leaving his disabled today please leavers form his complete regards,HR Support
34150,tester quote guys tester eventual la intend factor important important best regards lead ext,Hardware
28136,rights access for on october pm rights hello please replicate rights permissions thanks accounts receivables accountant ext,Storage
47317,oracle error sent friday error hello trying enter working hours enter working days for week when click save close receive error attached image best regards senior developer en,HR Support
15623,  tuesday pm hi folks se tempered glass has back cover way unable provide order mobile phone listed under his user name needs details sn sn status change growth assigned also needs returned understand swap please log installation thanks administrator phone,Purchase
22802,enable accounts signing problems both receive regarding bellows instruction regards,Access
32186,pas access updates part wednesday pm updates part dear kindly ask has client level ensure given level description type pm write client write client idee write moved give client write client write client write client write write idee write moved give write write pipeline idee write moved give thanks,HR Support
36029,problem re problem additional information side could was connecting while was connected outwards did work mobile please try fix issue asap we have meetings every week next one thanks analysis lead sent wednesday november re problem importance high hi connected through can connect resources problem should access resources through tunneling between while please treat request urgent thanks sent wednesday november re problem kind reminder rather urgent analyst en sent wednesday november problem hi have problem with accessing outside client site can connect but for some reason have access resources seems work but everything colleagues same situation could you please help with solution we have conduct some training client we can connect anything relevant thank you analyst en,Hardware
35900,re logged unlock domain account for re logged unlock domain for hi apparently locked again could you please assist unlock we would also appreciate if you could check reason happening thanks,Access
47784,oracle account not able to log unto sent wednesday si hello could you advise why does have set up create one for her thank you administration officer sent wednesday si inca fusion si sa sa cum sa ca sa specialist,Hardware
23634,issues with tuesday pm issues importance high hello guys seems issues while builds attached images help step hangs seconds sometimes more then screen receive after further tried old out different cables same result please fix fast since blockage work kind regards engineer ext,Administrative rights
29226,oracle notifications issue wednesday pm withdrawn approve entries hi issue today mailbox again withdrawals please withdrawn approve entries task application,Miscellaneous
36215,suspicious activities from suspicious activities dear our detected some suspicious traffic host could you computer for viruses well you could ask if she downloaded file what activities did she web site because these actions have detected outbound connection trojan attached file with short tech details,Hardware
31118,oracle reports wednesday pm reports hi guys save customized reports shared location think please thanks shared,Storage
21816,create shared mailbox tuesday pm hello please assist thanks kind regards infrastructure thursday pm puzzles la ca si puzzles si si riddles technical challenges si va se,Storage
11993,need more space july pm more hello please allot more received out thank advertising,HR Support
1593,leavers leavers dear having leaver him date please suspend his accounts also won proceed civil contract terminated possible exclude him attrition reports best regards,HR Support
22429,integration friday pm hi please code exists forecast against thank,Internal Project
11254,mailing groups changes and additions thursday july mailing groups changes additions hello teams changed teams started clean mailing groups please create groups trading please make changes reflect groups mentioned removed lists mobile change change mobile trading also please make these mailing lists receive receiving communication well thanks,Miscellaneous
30491,notification decommissioning tuesday decommissioning hello please log name mentioned summary forward form which filled information please keep mind needs least prior planned outage given decommissioning least two weeks follow prior thank,Hardware
42693,help with issue and password help with issue password,Access
41827,for account issues asking for password sent thursday re for hi working today asking for credentials should be address but also wants password accept password did what need use thanks sent for hello please be informed for created for you assigned extension be your address per below example please following guide for for usage you able make external calls via for kind regards rare analyst ext hub,Hardware
17134,access to confluence wednesday dear sir madam please kind confluence thank best regards,Access
7090,expenses for team hi report run incurred far kind regards planning officer infrastructure upcoming holiday none please consider environment print,Hardware
13578,extend interns end date wednesday re interns ad hi guys extend by accounts intern till intern till intern till attached same spread sheet details did previously thank software consultant,HR Support
36810,outlook shared mailboxes issue shared mailboxes issue hi cannot connect shared mailboxes enter credentials for several times but still working could you please advise how proceed thank you programme portfolio officer,Storage
7553,access to reports reports hi reports uploading reports thank,HR Support
42150,notifications not sent when tickets were resolved sent wednesday non compliant tickets resolved hello raised tickets for investigate why assets en en en appeared non compliant verified them assets were encrypted understand appear compliant but wanted check why did reference for tickets also did received any notification tickets were resolved logged name could you please make tickets investigated reopened if needed thanks coordinator,Miscellaneous
13035,status pending instead of approved friday pm status pending instead approved hi please update status contract submit asap execution contract id contract fully approved pending status thanks coordinator,Miscellaneous
36530,timecard error timecard error hello could you help please with deleting for period fusion shown error tried enter for next week choose wrong period then tried wrong registration but message error was posted fusion for timecard thanks officer,HR Support
388,new purchase po purchase po dear purchased please log allocation after receive item please take consideration mandatory receipts section order make receipt item ordered how video link kind regards administrator,Purchase
9738,request approval rights has been assigned to am support re rights has assigned dear visibility nominations done located belong functions etc example right nomination visibility status nomination about change migrate other platform until completed asap thank head,Miscellaneous
1004,poll change thursday pm poll change dear please log assign helping changing high watermark voltage output thanks kind regards engineer,Miscellaneous
27050,access to new for the team hi please informed added visitors more assistance feel free best regards engineer dear please make visible because add best regards engineer wednesday november pm re hello please log assign thanks november hello please advise please note logged yet thank analyst community builder ext hub wednesday november hi guys please help few colleagues let ad accounts created also working kindly ask let more details matter thank,Access
22544,can access one thursday please help descriptions view best digital,HR Support
28757,urgent new pas to write wednesday october pm urgent write hello modify forecasts greyed out please help thank,HR Support
33959,root rights july pm root rights hello implement single sing environments therefore production root privileges environment changes regards engineer,Hardware
6485,nixon wants to access and usage policy wants usage policy usage policy member usage policy accept decline requests,Storage
8760,new category addition it hosting and data storage services category addition hosting storage hi guys category addition define rendered replace legacy communication other please kindly create category today map entities hosting storage description hosting vault etc natural expenditure type client consumable please kindly let done hi please kindly colleagues thanks kind regards,Storage
18881,wants to share tags availability version with ms local support team saturday march pm wants share tags availability version want share tags availability version accept decline saturday march pm wants share tags availability version want share tags availability version accept decline saturday march pm wants share tags availability version want share tags availability version accept decline saturday march pm wants share tags availability version want share tags availability version accept decline saturday march pm wants share tags availability version want share tags availability version accept decline,Storage
46154,missing oracle time reports have received generated about reports problem mr longer working since can you please update accordingly,HR Support
20578,cs allocations february pm cs allocations importance high hi please help bellow range friday february pm re cs allocations hi please range process cs approved thanks friday february cs allocations hi expecting side regards cs opportunities good client wants engage he requesting led by lead call setup additional requirements come back more positions meanwhile kindly asking hard booked guys opportunity furthermore create code guys starting march let setup call next further information thanks head testing,Internal Project
47527,crucible not working crucible certificate expired if add exception browser loading please crucible,Hardware
17851,add to wednesday pm add hi please add thanks developer mob,Miscellaneous
35611,can search for outlook can search for hi can seem be able search anymore ones find after searching week old have archiving rules set for years archive thanks officer,Storage
23564,leaver form hardware inventory update wednesday pm leaver form hello please informed intern he has received job offer his accounts canceled thank specialist,HR Support
12361,new starter july pm re hello missed information regards july hello please fill date,HR Support
46834,lost badge sent thursday october lost badge hello lost badge one used enter building please cancel old one nobody can further access building with looking fwd for your feedback when can pick up one best regards senior developer,Access
7145,log report has taken joiners training test hi per require name synched across thanks re report has taken joiners training test hi mean name has synched across ask make has kind regards report has taken joiners training test hi tried logging credentials avail requested haven received far regards report has taken joiners training test complete training report has taken joiners training test hello please make paragraph report mentioned level affects how must take quiz also apologies receive multiple merge allow combine multiple records merge table appears report has yet taken information baseline quiz joiners also viewed overview training course materials which recommended awareness education step taking quiz sometimes lookup procedure results gives wrong result usually due name change presence multiple addresses active directory has taken baseline quiz please let fix records make lookup works correctly future ask earliest convenience log site watch information overview training course movie resource content awareness october view movie resource content then take baseline quiz joiners id taking awareness training test quiz consuming contractual commitments clients ensure employees received tested information awareness training part induction process joiners forget even recently joined members since st reminded too take overview training course baseline quiz possible done reminded about by by location finally note joiners teams themselves configured trainers must follow these instructions attempting take baseline quiz otherwise score recorded main quiz results think taken quiz thanks kind regards information compliance officer extension,Hardware
40046,monitor issues sent friday july monitor issues dear please create assign ticket for fixing monitor thank you kind regards engineer,Hardware
37795,please action submit your time cards for approval please action submit your cards for approval defect these old have somehow changed sent please action submit your cards for approval dear you receiving because you have cards haven submitted for approval please note enough only enter your but also make you submit your for approval take corrective actions case your submitted card gets rejected below breakdown your submitted cards please submit for approval your accordingly possible country submitted cards card status saved entered saved entered entered entered entered entered total submitted cards submitted cards statuses explained error usually happens when you log calendar view for period longer than days then delete one entry causes timecard switch error fix you should add back for deleted or delete entire timecard using right hand side menu recreate again rejected card was rejected by one approvers please correct card entries accordingly resubmit entered status timecard when only one or few days entire timecard have entered saved cards status passed entered validation but gone next submission step for any card issues you can resolve please wait but raise corresponding incident through portal for resolutions,HR Support
41029,mailbox increase for purchasing com re mailbox increase hi thank you have followed indicated steps personal longer receiving full mailbox message however we still receiving for can we please increase size for too folder permission button disabled folder policy setup per below thank you,Storage
41926,problem logging to the employment service site sent tuesday problem logging employment site only pc can you assign for solution thanks screening officer,Hardware
35581,oracle problem problem hello have problem with work received error when submitting form then went entered data again looks like attached can delete extra hours best regards engineer,HR Support
18068,backup storage monthly disk report on saturday backup storage disk report dear user report regarding disks also individual disks storage disk disk count bad sector count disk re identification count disk disk count bad sector count disk re identification count disk disk count bad sector count disk re identification count disk disk count bad sector count disk re identification count disk disk count bad sector count disk re identification count disk disk count bad sector count disk re identification count disk disk count bad sector count disk re identification count disk disk count bad sector count disk re identification count disk disk count bad sector count disk re identification count disk disk count bad sector count disk re identification count disk disk count bad sector count disk re identification count disk disk count bad sector count disk re identification count disk disk count bad sector count disk re identification count disk disk count bad sector count disk re identification count disk disk count bad sector count disk re identification count disk disk count bad sector count disk re identification count disk disk count bad sector count disk re identification count disk disk count bad sector count disk re identification count disk disk count bad sector count disk re identification count disk disk count bad sector count disk re identification count disk disk count bad sector count disk re identification count disk disk count bad sector count disk re identification count sincerely,Hardware
15298,remove from am and am service now groups pm sn hello please done by,Miscellaneous
44862,cannot send to sent tuesday hi cannot send best regards sent tuesday undeliverable failed these or groups address you entered be found please check recipient address try message if problem continues please contact your diagnostic information for administrators generating server remote server returned resolver found original message headers with server id with id content type application name content transfer encoding binary thread topic thread index calendar originator id date message id references accept language en content language en attach mime version transport hosted originating return path,Hardware
5000,strange strange hi strange order prevent issues thank software tester,Administrative rights
46771,access card sent october access card hi please activate card visitor name unfortunately have lost mine sorry thank you,Access
20117,action required sub account card needed february pm re action required sub card needed hi got under root create more users colleagues learn purpose mentioned cover benefits enumerated bellow red by colleague different talked about same root problem yet create justify costs by usage level how proceed other hand keep thinks isolated activity best option root each purpose define level currently single root multiple purposes colleagues colleagues other initiative interfere work talk about nail down procedure valid regards,Hardware
8278,access to one com accounts accounts hi please let required thank pm re resource profile hi please site thank regards,Access
27144,create new list tuesday november pm create hello created order entire added name members added kind regards tester,Miscellaneous
36056,issue with re cannot upload hi have same problem with opportunity well extension perhaps tied was processed etc id dc true thank you for your help with,Hardware
35146,access issue access issue hello received laptop yesterday en tried using connect copied over configuration previous laptop changed connection indicate number failed with following error wed dec error keyset does exist wed dec client disconnected wed dec cannot load certificate en certificate store wed dec exiting due fatal error can you please help thank you bur lead en,Hardware
22388,and access to salary module friday pm hello salary module also which required thank test lead,HR Support
43527,cannot connect to drive sent friday march cannot connect drive hi working connection fine morning but get error when document connected connected know how fix thanks counsel old broad street,Hardware
21723,update cal com mail wednesday february pm update cal hi please update cal members follows add thank senior,Miscellaneous
25520,po friday november pm po hi teams pal has purchased please create installation receive item too please follow screen capture thank administrator phone,Purchase
13905,new purchase po pm purchase po dear purchased lightning cable apple micro premium electronic black please log allocation please take consideration mandatory receipts section order receive item ordered how video please explorer kind regards administrator,Purchase
43747,unable to access oracle sent wednesday march hi cannot sign regards software developer,Hardware
23232,laptop charger for days tuesday charger hi charger days while please log thank officer,Hardware
31424,laptop for information radiator for thursday information radiator importance high hi please help obtain dedicated order installed tv information radiator floor user guest safer cable order moved location other details please let regards,Hardware
1179,access to oracle hello haven where report working provide thanks best regards,HR Support
620,improvement needed project number to become mandatory for expense reports improvement needed number become mandatory expense reports hi kindly ask help regarding introduction number mandatory creating expense report optional moment has great impact term costs analyzing person travels every discovered posted instead code period december impact highly important asking urgent solve issue thank officer,Internal Project
44493,urgent with issues sent wednesday february urgent with importance high hello members having issue cannot connect anymore could you please help with issue thank you manager en,Hardware
3937,site access question hello please help thanks best regards november pm question hello si si links,Hardware
635,sponsorship vs donations new mapping oracle to re sponsorship vs donations mapping hi please thank engineer wednesday pm sponsorship vs donations mapping teams please adjust mapping natural starting parent ledger natural ledger parent ledger donations sponsorship advertising promotion donations donations change change needs changing reports transactions costs etc consider upload mapping thank,Miscellaneous
36350,re required specification for the local server machine hi come back request we have identified there machine can be upgraded with some disks machine product type number en we ll be if can be upgraded with additional drives addition disks should belong any efficient series because conflict with raid setup we plan implement can you please advise how proceed br sent wednesday re required specification for server machine dear suppliers unable assist with request responded with preset like or servers disregarding our original request like said before there few desktop available growth with we could upgrade except for cpu form factor but need be approved by giving circumstances if you really need stick initial scheme need address request with our romanian suppliers build machine tailored for your request you ll probably need add shipping costs customs issues but could be done however mean almost for them one desktop really bringing them profit take some another way we could for address know able help building pc can issue invoice can or buy desktop pc you specified be we got far product description price warranty dos year dos year bundle monitor dos monitor year year year year tower intel processor mb integrated gigabit port raid plus bronze certification warranty feel free add your thoughts administrator phone sent friday re required specification for server machine hi we had mind use software raid server environment we want duplicate part pool used compression volume store text files with mind we would prefer non hardware raid solution because we need for os drives themselves if possible we would stick with our primary choice thanks sent thursday re required specification for server machine being asked following what type raid we need here raid capable would job specifications tower intel processor mb integrated gigabit port raid plus bronze certification months warranty thanks administrator mobile phone sent thursday re required specification for server machine hey we addressed our supplier we re waiting for their input some tower pc set growth necessarily fit requirements but decided ask if one them could job worth if good idea but knows maybe upgrading one would help administrator mobile phone sent thursday required specification for server machine hello for requirements client we would need machine roughly with specs can you please help by giving budgetary cost for specification thanks lot sent wednesday required specification for server machine hi required specification for machine components motherboard mini ports processor th generation lake physical cores raid capable case cooler master retailer equipment developer,Hardware
13771,temporary laptop assignment pm assignment hi please assign temporarily today tomorrow picking thanks android,Hardware
32950,oracle approval delegation for wednesday july pm delegation hi please advise how proceed delegate approvals come he holiday until avoid blocking his please investigate he receiving even he pm code thanks ext mob blvd zone,Miscellaneous
35472,missing from hello colleagues one members members tool can you please make necessary changes have him regards test consultant,Miscellaneous
36257,pc screening pc screening laptop crashed twice today showing screen unhappy face error times was using excel have lost amount work keep having go back last saved versions upgraded last week but issue happened since en,Hardware
34629,report for report for hi please inform mentioned allowed remove them please report for details,Miscellaneous
1045,password reset greetings please marsh marsh thank respectfully,Access
23566,pre sales code set up wednesday pm urgent pre code hi please pre code possible colleagues book flights today hopefully move ahead note until code thanks,Internal Project
31919,temporary second monitor pm second monitor dear please allocate second monitor until input piedmont meeting room,Hardware
8419,needed needed hello please install slow moving thanks,Hardware
28151,reactivate card october pm card si la,Access
44846,broken oracle sent tuesday broken hello trying log hours yesterday today but was unable when hit review submit button screen freezes nothing happens can you please look into issue thanks change incident manager,HR Support
40495,issues with view for excel sent monday aw issues with view for excel hi unfortunately after having tested last session work again settings set your recommendation still got following error message when opening excel session although try update values sheets for review seems process but values server inserted sheet could you please reopen ticket investigate again thanks best regards wednesday issues with view for excel hello could you kindly check below settings if configured correctly downloaded version compatible with version your operating bit or bit verify fusion view shared connections spreadsheet go view tab click options shared connections field should be populated with your fusion application use if these correctly configured kindly check enable macros check trust access object model you can find settings by going excel options trust centre macro settings please let know if any these changes solved issue looking forward hearing you thank you kind regards rare analyst ext hub sent wednesday incident issues with view for excel assigned please be advised record number assigned please review details take appropriate action description when opening excel view installation causes some issues with class summary issues with view for excel number priority moderate assignment location access incident please click following link attachments error message image kind regards ref msg,Hardware
38503,issues all agents are on make busy caller is on the line for less than seconds mail attached scenario agents make busy caller line for less than seconds expected behavior call listed short abandoned reports actual behavior call was listed reports call was listed dashboard,Hardware
25237,new access to week contest winners thursday december pm wants contest winners accept decline,Storage
31126,monitor for wednesday monitor dear kindly ask provide monitor details user located thank,Hardware
30103,add myself and a colleague to mail list tuesday pm add myself colleague hi colleagues please add myself thanks best regards,Miscellaneous
3136,password reset for re hi please thank br senior developer tuesday november pm hello lost confluence please thanks november has received user user directory update please administrator further details name by originated please detailed disclaimer has automatically added by gateway comply requirement arrived via cautious about origin content replies which contain sensitive information contractual obligations particularly vulnerable these cases adequate employed questions please speak please consider environment printing proud responsible corporate responsibility registered wales st court chart way west rh by regulation authority regulated by conduct authority regulation authority protection calls recorded monitored information confidential copied by intended received error please immediately by returning please delete disclose contents anyone responsibility accepted loss damage arising viruses changes made after,Access
36128,add to client re add client hi tried connect server but get same error message please check again number en thank you engineer,Hardware
37927,referral issue referral issue hello found candidate had referred without being assigned requisition would like ask if possible refer candidate without choosing active job if would like request would longer be possible trouble if referrals assigned specific requisition visible any recruiter therefor action be taken unfortunately thanks click here find out more about experience en address blvd th floor district please refer section our for list entities,Miscellaneous
10250,enable for for selected users thursday pm re enable selected users hello possible voice order enable unified deployments modifications per issue certificate possible install language packs romanian pack create dial plan create gateway script script provided by require downtime create objects voice attendants after finished mailbox setup pin perform tests recommend doing directly perhaps better test then production other details please hesitate directly best regards technical consultant please consider environment print thursday pm enable selected users hello please investigate possible enable users about possible due unmet dependencies please explain which dependencies question thank lead,Internal Project
1153,invoice volume report invoice volume report dear please provide volumes report regards kind regards lead,HR Support
6150,access to reports for has assigned dear please reports separate thank engineer tuesday october has assigned hello please advised record number has assigned please review details take appropriate action reference number details requested location center summary additional comments requirements hi please thank kind regards october pm hello please help providing colleague per details name roles resp roles also has nothing reports well questions let please thank regards lead assign reference assignment summary location center attachments image please link kind regards ref msg,Miscellaneous
27613,visual studio license tuesday october pm visual studio visual studio la care pot vs,Access
30350,temporary thursday hello please order create required bandwidth tests related requirements mb cpu core environment none thank best regards engineer,Hardware
21937,new purchase po pm purchase po dear purchased cooling pad please log installation please take consideration mandatory receipts section order receive item ordered kind regards administrator,Purchase
2688,sonar snapshot sonar snapshot hi please create snapshot sonar virtual machine thank engineer,Access
925,access for team hello please instance hosted please assign queue best regards engineer,HR Support
18807,preparer and buyer rights for march pm preparer buyer rights hi guys please kindly preparer buyer rights thanks kind regards,HR Support
2072,code project set up oracle pas pas code dear ask please both code per attached form kind regards december pm re code form thank good regards december code form hi attaching form review code required both stage kind regards,Internal Project
8330,lost access card on space lost card dear colleagues found lost card please let whom belongs thank best regards,Access
30617,sprint and live delivery friday pm re sprint hi currently investigating keep updated please best regards engineer friday pm re sprint va moment flow friday pm re sprint change ca hot fix si ca senior developer re sprint importance high aspect si final approver ca ca ca care processing cannot create approve his own proposal ne job specialist pm sprint hi please attached build installation package release sprint release includes stories improvements user want grades show user friendly thrown report downloading allow copy formatted text word comments individual proposal screen bulk assign employees benefits scheme flows allow assign employees flows automatic assign employees flows based please also inform about plan perform questions please let thank senior developer,Hardware
40237,access issues sent monday july issues dear unable access server web through currently location had setting access only could get some assistance please kind regards applications engineer,Hardware
40439,holiday request sent holiday request hello please assist with following issue weeks ago submitted holiday request for period between receiving for period checked holiday request history entry does appear unable submit since contains days past regarding if attempt submit getting following error although value was selected for any questions please let know kind regards,HR Support
16345,wants to access companies view wants companies view please sector information accept decline requests,Storage
37827,belgrade conference room nile work belgrade conference room nile work hi belgrade conference room nile work can you please fix thanks manager,Hardware
29267,low disk space on drive wednesday disk partitioning hello running low memory drive available memory drive please assist by allocating kind regards lead,Hardware
15391,new starter file share belgrade thursday pm dear please find attached joiner whom expect july thank kind regards administrator,HR Support
15769,and cc payroll reports re hi please rise assign these changes needed senior engineer friday pm re ultima prima la prima friday pm re personae fie employees expense details ultima si senior engineer friday re re ultima fie la la ca cine fie friday re ca ca ultima cum fie ex ca prima ultima senior engineer friday automat ultima si recipient thursday pm dear part processing updated information therefore run report update per latest information realized since potential changes checked help historical details report therefore please run report appropriate information tools reports shared folders custom expense detail run parallel changes report safe side covered changes dated worry good evening,Hardware
8881,please help please help hello recently mailbox created under mailbox creation please provide host name port number host name port number regards,Storage
16222,direct reports missing time for thursday pm re please action reports pm receive again again pm software developer thursday pm re please action reports hello please advised allowed permissions submit sheet thus pm which needs log add then submit him has these permissions pm then tasks manage select parties tab select icon then name member select type role member date select track choose save close view similar except person name filled after person added please perform order log person order please follow steps step section column step manage cards sign step select required person date card step fill card next submit encounter issues please let thank both collaboration looking forward hearing analyst ext hub thursday pm please action reports software developer wednesday pm please action reports dear part established processes each required submit his weekly basis each friday past must submitted receiving because reports haven followed process please help cascade accordingly gets possible breakdown reports please note refers has left maternity other absence leave please update person record otherwise please person directly submit country date total days,HR Support
